Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
200	-15762	-15746	-15.981	0.0902272	0.117833	0.0862026	0.0933463	0.0978838	0.107658	0.126594	0.0694286	0.102882	0.11112	0.104866	0.122392	0.0967634	0.169178	0.118923	0.0903112	0.0520776	0.0925232	0.0693081	0.096002	0.0810921	0.110476	0.107679	0.0102183	0.0163455	0.0959667	0.0185591	0.0374468	0.0251797	0.0246659	0.0363839	0.0170517	0.0264564	0.0237213	0.0384073	0.0414283	0.0263001	0.0306237	0.0229561	0.0750491	0.0455797	0.0446484	0.0446016	3.01636
210	-15755	-15737.6	-17.3407	0.116349	0.112744	0.0747567	0.092099	0.121483	0.0851856	0.131481	0.0778213	0.0923189	0.119962	0.108061	0.122392	0.0847721	0.182017	0.128046	0.109921	0.0630955	0.0936459	0.072408	0.0801192	0.0899427	0.108929	0.137303	0.055206	0.0487757	0.0728306	0.0200793	0.0438924	0.0330969	0.0558421	0.0306477	0.0318661	0.00848649	0.0308215	0.0330256	0.0444119	0.00822376	0.0358443	0.0213119	0.0508057	0.0447088	0.0466341	0.0309605	3.15232
220	-15730.2	-15713.9	-16.2369	0.0874139	0.084846	0.075216	0.0784523	0.106404	0.101688	0.121455	0.0778213	0.117284	0.119126	0.0768366	0.122392	0.0877422	0.168404	0.130158	0.101191	0.0752975	0.081861	0.0756317	0.0798541	0.0858576	0.112963	0.145986	0.0462137	0.0155679	0.0705148	0.0197795	0.0313054	0.0169211	0.0419763	0.0290534	0.031708	0.0186882	0.0313639	0.0454143	0.0354883	0.0233032	0.0372433	0.0277662	0.0709109	0.0488502	0.0611543	0.0248398	3.04194
230	-15721.3	-15705.4	-15.8209	0.104638	0.104492	0.0804336	0.0992373	0.109267	0.101688	0.118113	0.078274	0.107267	0.125705	0.0974452	0.10262	0.0855484	0.154926	0.121027	0.085808	0.0587853	0.103322	0.0813365	0.0757104	0.0778801	0.105069	0.124653	0.0550362	0.0196102	0.0803771	0.0333123	0.0397966	0.0399339	0.0359506	0.0204145	0.012027	0.0277133	0.0157572	0.0439541	0.0454709	0.014208	0.026925	0.0289015	0.0542992	0.0339335	0.0371496	0.0323328	3.00035
240	-15732.4	-15716.4	-16.0687	0.110878	0.105704	0.076706	0.0737601	0.113264	0.105791	0.122045	0.0699626	0.102731	0.125705	0.100838	0.119725	0.0740557	0.172819	0.11776	0.0873867	0.0789226	0.067502	0.0655389	0.0726816	0.0836354	0.122457	0.106622	0.0712172	0.0192001	0.090708	0.0256584	0.0331683	0.0246471	0.0280666	0.023612	0.0100574	0.0233268	0.0276729	0.0579886	0.0407177	0.0311293	0.0489893	0.0362298	0.0579703	0.0295989	0.0422651	0.0264062	3.02512
250	-15722.8	-15706.4	-16.3335	0.0860369	0.108578	0.0690043	0.0811054	0.119833	0.0887922	0.128651	0.0906008	0.111001	0.130843	0.105958	0.105899	0.0777989	0.137385	0.138053	0.0918821	0.060576	0.083799	0.070101	0.0848422	0.0827091	0.12053	0.146244	0.0571752	0.014785	0.0651465	0.0257442	0.0294915	0.0277592	0.028186	0.0251333	0.011738	0.0337196	0.0407755	0.0413028	0.0497178	0.0292156	0.0328792	0.0235214	0.0635412	0.0450254	0.0629175	0.0236086	3.0516
260	-15731.8	-15716.2	-15.5785	0.0862059	0.102059	0.0933964	0.0656594	0.0982898	0.094958	0.143124	0.0570532	0.0890725	0.130843	0.0877514	0.137612	0.0815856	0.150269	0.106963	0.0950848	0.0737262	0.087402	0.0949473	0.0615551	0.0875482	0.114974	0.122885	0.041787	0.0143958	0.0792925	0.0260174	0.0366143	0.042586	0.0356746	0.0300916	0.0100072	0.0217309	0.0354645	0.0319	0.0408454	0.0312509	0.0272988	0.0190917	0.0575997	0.0498384	0.0443259	0.0373299	2.97611
270	-15720.2	-15703.9	-16.2579	0.0912276	0.0956562	0.0739467	0.0817787	0.0972005	0.103767	0.142216	0.0685591	0.114423	0.130814	0.108566	0.133094	0.0702407	0.150269	0.150013	0.0788754	0.0592354	0.0996135	0.0774762	0.0792895	0.0885542	0.100173	0.134155	0.0634044	0.0166366	0.0628966	0.0248795	0.0365573	0.0322365	0.0398974	0.0205304	0.0217949	0.0332181	0.0213513	0.0433204	0.0439081	0.0185263	0.0289955	0.0293379	0.0607894	0.0456261	0.0499051	0.0210833	3.04404
280	-15725.2	-15709.4	-15.8164	0.108769	0.119894	0.0707321	0.0758346	0.123901	0.103172	0.115597	0.0792283	0.0897838	0.132471	0.0860674	0.134711	0.0986416	0.166262	0.125911	0.0972978	0.0613217	0.0899746	0.0696065	0.081799	0.0811809	0.100213	0.101102	0.0612373	0.0149128	0.0779804	0.0233808	0.0438232	0.020031	0.0263822	0.0190968	0.0155959	0.0411951	0.0343952	0.0435175	0.0370369	0.0133954	0.0326221	0.0250033	0.0662564	0.043312	0.0292766	0.0179729	2.99989
290	-15720.4	-15705	-15.4205	0.0923191	0.124063	0.0653939	0.0835937	0.0984759	0.093729	0.116149	0.060937	0.109738	0.137326	0.0876612	0.135985	0.0752777	0.164175	0.14543	0.0970474	0.0667699	0.0904363	0.0696065	0.0663361	0.0735009	0.121752	0.124367	0.056974	0.0189052	0.0827635	0.0413097	0.0270431	0.0223092	0.0294118	0.0203708	0.0235412	0.033386	0.0262818	0.0384961	0.0300435	0.0241824	0.0197065	0.0247574	0.0490014	0.0357014	0.0346819	0.0213689	2.9603
