Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
20	-16020.9	-16003.4	-17.5166	0.10296	0.0819703	0.0584289	0.0940899	0.129973	0.124147	0.11498	0.18007	0.17042	0.0874531	0.111031	0.0706549	0.114618	0.145493	0.0957427	0.0942612	0.0980807	0.092237	0.0923432	0.0967775	0.109326	0.0863521	0.105013	0.0223664	0.0401389	0.0377856	0.03225	0.0188769	0.0455406	0.0129778	0.0229548	0.0491867	0.0383323	0.0245705	0.0231765	0.0523597	0.00942751	0.0375089	0.0300272	0.0398883	0.0364079	0.0812286	0.058484	3.16991
21	-16027	-16009.7	-17.2922	0.0890251	0.0719162	0.0751465	0.0733085	0.130264	0.114003	0.136489	0.171221	0.158447	0.0731904	0.129842	0.068689	0.114618	0.143167	0.0843827	0.103945	0.109829	0.0958482	0.0903626	0.0834267	0.109682	0.0919553	0.103468	0.0290876	0.0548108	0.0415436	0.0256973	0.0209392	0.0503681	0.00735729	0.0230639	0.0611155	0.0288293	0.0261875	0.0324918	0.0541062	0.00861509	0.0373786	0.0380173	0.0372445	0.0344197	0.0733442	0.0406322	3.14748
22	-16012	-15994.4	-17.6172	0.0991385	0.0750049	0.059841	0.0833109	0.123415	0.115642	0.13032	0.206461	0.1817	0.0731904	0.116349	0.067792	0.115496	0.151668	0.0678599	0.102803	0.104316	0.0900802	0.0841716	0.0834267	0.117812	0.0890941	0.0957715	0.0309725	0.0502476	0.0378047	0.0456344	0.0206367	0.027873	0.0145273	0.0291931	0.0315476	0.0264593	0.0296532	0.0312795	0.0513734	0.0107799	0.0731662	0.0322958	0.0434322	0.0261293	0.0851163	0.0471932	3.17998
23	-15884	-15867.5	-16.4817	0.0990067	0.0924007	0.0568521	0.0804077	0.117166	0.10387	0.131814	0.11558	0.149249	0.0765251	0.114133	0.0753419	0.104444	0.115966	0.0706908	0.097897	0.107143	0.0940696	0.0915031	0.0636374	0.138041	0.101154	0.115489	0.0242072	0.0441925	0.0387749	0.0449728	0.0263525	0.0441749	0.0603188	0.0239413	0.0349433	0.0224665	0.0301243	0.0279041	0.0326993	0.00663039	0.0334105	0.0587665	0.0420322	0.0173121	0.083957	0.0568624	3.06643
24	-15815.3	-15799.3	-16.015	0.111209	0.0689973	0.0568521	0.0821961	0.121833	0.099504	0.127285	0.0906197	0.188079	0.083289	0.103956	0.0612187	0.0844545	0.124742	0.0754303	0.118634	0.0875668	0.131625	0.0743127	0.0743917	0.139369	0.092824	0.100133	0.0237306	0.0566555	0.00748882	0.0135101	0.0189885	0.0405369	0.0605131	0.037473	0.0422582	0.0171494	0.0297625	0.0356381	0.00794202	0.0264634	0.0279737	0.0424609	0.0378933	0.0336559	0.0999523	0.0611828	3.01975
25	-15787.9	-15770.7	-17.1742	0.112678	0.0730091	0.0486182	0.0760404	0.124784	0.089765	0.121882	0.0735174	0.171772	0.0967614	0.126112	0.0748886	0.118332	0.157416	0.0741654	0.110803	0.0802198	0.0991727	0.109286	0.0764499	0.139369	0.0932431	0.132777	0.0267812	0.043158	0.00655009	0.0334653	0.0395979	0.0350533	0.0395551	0.0272552	0.0346049	0.0148618	0.0221307	0.0260385	0.0241028	0.0678576	0.0376291	0.0423391	0.0420107	0.0380608	0.09608	0.0574837	3.13568
26	-15764.9	-15748.6	-16.2889	0.0920831	0.0706596	0.0833322	0.0976601	0.120562	0.10776	0.131285	0.0691993	0.170467	0.0869922	0.128193	0.0746275	0.111032	0.143921	0.0656898	0.101505	0.108025	0.0893281	0.0802531	0.0850285	0.131467	0.0989963	0.0958025	0.0294636	0.0527179	0.00819383	0.0288398	0.0200323	0.0429548	0.0443628	0.0322321	0.0353919	0.0178541	0.0154917	0.0123616	0.0213307	0.0581291	0.0370158	0.0475668	0.028925	0.0238756	0.0954569	0.0510758	3.04714
27	-15746.8	-15730.9	-15.8605	0.11707	0.0765292	0.0565175	0.0874496	0.135701	0.101617	0.119957	0.07807	0.153458	0.0882434	0.105973	0.0712409	0.113793	0.147269	0.0896881	0.115226	0.0954006	0.0859753	0.0770425	0.0782883	0.119874	0.0956857	0.105484	0.0221303	0.0342979	0.0173733	0.0351745	0.0251009	0.0464189	0.0260234	0.0322906	0.039086	0.0161459	0.0228513	0.0102585	0.0206891	0.0585513	0.0260536	0.0492955	0.0326946	0.031766	0.0929567	0.0495904	3.0043
28	-15740.8	-15724.8	-15.9837	0.0960958	0.0759638	0.0557763	0.0665718	0.108259	0.105319	0.132201	0.093566	0.173913	0.0773957	0.119898	0.109842	0.103634	0.120958	0.0682616	0.122858	0.090135	0.114142	0.0836021	0.0991433	0.119874	0.0812499	0.111085	0.0258822	0.0489598	0.0472683	0.0285698	0.0330808	0.024486	0.0238896	0.0155279	0.0449971	0.0185813	0.0259941	0.0271964	0.0155122	0.0693705	0.0273707	0.0387377	0.0326946	0.0219714	0.0578309	0.0589572	3.01662
29	-15731.9	-15715.6	-16.3797	0.115699	0.081232	0.0676271	0.0879904	0.106904	0.110725	0.117759	0.0567167	0.170491	0.0907127	0.0982609	0.079688	0.101371	0.15889	0.075434	0.124388	0.101398	0.0858074	0.087366	0.0719321	0.148836	0.0863735	0.100023	0.0264098	0.0311167	0.0460424	0.0200376	0.0294524	0.0272041	0.0428607	0.0230989	0.0398526	0.0156517	0.0320668	0.0246158	0.0206465	0.0774647	0.0224793	0.0337149	0.0495445	0.0225823	0.0860362	0.0597222	3.05623
