Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
200	-15810.2	-15794.2	-15.9851	0.130064	0.0803652	0.108897	0.0608182	0.0872606	0.0669122	0.131157	0.0768325	0.107666	0.0695235	0.127115	0.0580767	0.106031	0.0861536	0.078955	0.0650725	0.138966	0.169334	0.120581	0.0936715	0.11044	0.119076	0.105391	0.0628349	0.036205	0.0248517	0.0332274	0.0330967	0.0352129	0.0164077	0.0557049	0.0360167	0.0137748	0.0545005	0.0413813	0.00694759	0.0663208	0.0334369	0.0159086	0.0219732	0.0414653	0.0676425	0.0214955	3.01676
210	-15801.1	-15784.4	-16.6473	0.10031	0.0797465	0.126248	0.0689855	0.0959447	0.0982931	0.13423	0.102287	0.0872457	0.0849777	0.114936	0.0700687	0.0791631	0.0938308	0.113132	0.0582091	0.149437	0.168948	0.116456	0.0895353	0.0843851	0.126787	0.111992	0.0459697	0.0383837	0.040999	0.035989	0.0417509	0.0237829	0.0256675	0.0292839	0.0443016	0.0136867	0.0465166	0.0274226	0.0107798	0.0581948	0.0417027	0.0316179	0.0176728	0.0514499	0.0893783	0.0132882	3.08299
220	-15799.8	-15783.1	-16.6731	0.123623	0.0822424	0.13174	0.0958599	0.0939665	0.0927355	0.120925	0.0846816	0.0798579	0.107725	0.121368	0.0830203	0.0828936	0.104127	0.111691	0.0454308	0.125578	0.160107	0.114154	0.0948929	0.0953351	0.115771	0.105224	0.0478919	0.0276318	0.035633	0.020996	0.0470572	0.0244513	0.0429538	0.0368185	0.0334903	0.00905252	0.0530425	0.0320815	0.0119788	0.0517193	0.0404128	0.0268636	0.0255983	0.0262573	0.101945	0.0167426	3.08557
230	-15790.4	-15773.6	-16.8031	0.101019	0.0679775	0.0983481	0.100886	0.0934209	0.0920576	0.132703	0.0931173	0.0713208	0.103562	0.123223	0.0695503	0.0861969	0.102146	0.109675	0.0494539	0.130271	0.160107	0.146196	0.115395	0.0868196	0.0917277	0.122194	0.0366121	0.0336731	0.0320111	0.0358637	0.0354156	0.0217982	0.0296409	0.0426576	0.0509332	0.0116124	0.0617299	0.0367414	0.0127271	0.0515201	0.0460789	0.0286375	0.0285774	0.0398042	0.0815221	0.0336439	3.09857
240	-15788.6	-15772.7	-15.9221	0.0939959	0.0816333	0.103072	0.0568349	0.101709	0.0693036	0.113271	0.10404	0.0830787	0.0891234	0.124905	0.0829809	0.0858017	0.109225	0.115458	0.0649809	0.143521	0.170392	0.132057	0.0963393	0.0945367	0.100862	0.0891986	0.0468625	0.0259704	0.0227805	0.0212713	0.0381263	0.0421213	0.0355599	0.0321404	0.0455943	0.0228913	0.0560056	0.0293533	0.0148433	0.0606431	0.0454208	0.0212576	0.0174867	0.0389175	0.0621168	0.0247819	3.01046
250	-15761.9	-15745.3	-16.6279	0.0977665	0.0862312	0.103072	0.0698396	0.0913145	0.0859971	0.108319	0.100173	0.0908557	0.0799394	0.133507	0.0802486	0.0943631	0.0721232	0.107516	0.0795719	0.117684	0.167263	0.150781	0.108962	0.0945367	0.0906249	0.0967261	0.0712719	0.0273757	0.0287751	0.0170739	0.0401412	0.0637329	0.0274922	0.0379892	0.0527906	0.0398579	0.0656594	0.0198779	0.0106909	0.0462917	0.0401021	0.0178583	0.0227336	0.0399021	0.0759928	0.0280227	3.08105
260	-15739.5	-15723.4	-16.0833	0.123067	0.0706663	0.0980882	0.0693888	0.0848065	0.0898191	0.116006	0.0941419	0.0815275	0.0780019	0.127113	0.0705887	0.0828779	0.0860419	0.11034	0.0791097	0.120965	0.16866	0.150781	0.0860402	0.0956964	0.0924281	0.113998	0.0542443	0.02913	0.0290638	0.0331258	0.0410913	0.0140539	0.0292096	0.0288382	0.0430918	0.0436547	0.0524761	0.0362242	0.0162341	0.0557423	0.039553	0.0190484	0.0149948	0.0333596	0.0881286	0.0351667	3.02658
270	-15755.9	-15739.7	-16.2695	0.107938	0.0913889	0.0953182	0.09168	0.0848065	0.0791472	0.127214	0.090479	0.0643504	0.0910396	0.104968	0.0665656	0.0841753	0.0878949	0.100796	0.0503643	0.128411	0.16866	0.16746	0.0860402	0.0884886	0.140524	0.123691	0.0533145	0.0275548	0.0202438	0.0154441	0.0453034	0.0209471	0.0338975	0.0251563	0.0410301	0.0599216	0.0550286	0.0307332	0.0244727	0.0490005	0.0449129	0.0268928	0.0146824	0.0288111	0.0682186	0.0382323	3.0452
280	-15753	-15737.4	-15.621	0.100594	0.0700116	0.114483	0.103889	0.0771541	0.0848617	0.134248	0.0884409	0.0868236	0.0691006	0.126759	0.075627	0.0951391	0.0891862	0.108035	0.056945	0.12247	0.175439	0.127023	0.0781405	0.107486	0.0750608	0.0954112	0.0490431	0.0282062	0.026951	0.0172459	0.0384588	0.0204284	0.0254646	0.0274695	0.0537244	0.0466991	0.0443711	0.0401109	0.0299604	0.0534068	0.017004	0.0312921	0.0280527	0.0254878	0.0681752	0.0464788	2.98036
290	-15750.7	-15735.1	-15.5401	0.0915008	0.0723368	0.113201	0.0790118	0.0706198	0.103633	0.101849	0.0920663	0.0735187	0.0747819	0.135856	0.0800309	0.0941568	0.094469	0.0969886	0.0528353	0.135547	0.168421	0.140633	0.0850234	0.117739	0.106107	0.105642	0.0605796	0.0224777	0.0341865	0.031216	0.047463	0.0171971	0.0296244	0.0377434	0.0348586	0.0468994	0.0549489	0.020912	0.0135815	0.0478118	0.0264609	0.0267107	0.0261599	0.0226447	0.0600925	0.0247286	2.97227
