Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
21	-15810.4	-15793.9	-16.4935	0.0840852	0.10486	0.0921139	0.0765676	0.10055	0.0650546	0.0803145	0.114493	0.101169	0.0799628	0.140485	0.125904	0.118567	0.112292	0.120044	0.0664402	0.0906989	0.102542	0.152894	0.0807639	0.0949156	0.104041	0.0962405	0.022646	0.0311877	0.0195532	0.0306537	0.0446588	0.045572	0.00104064	0.0471512	0.0281662	0.0660149	0.0530931	0.0458699	0.0271837	0.0639446	0.0724487	0.0398312	0.0382442	0.032321	0.0308595	0.0221637	3.0676
22	-15817.4	-15801.7	-15.7275	0.0977922	0.0984363	0.0867367	0.0497772	0.099391	0.072598	0.0710486	0.114493	0.107448	0.0849718	0.147621	0.100813	0.0982676	0.119338	0.119628	0.0859369	0.0909701	0.128226	0.131146	0.0717376	0.117732	0.0736407	0.10115	0.012437	0.0308795	0.0236942	0.0130817	0.0220577	0.0239836	0.00161326	0.0471594	0.0291681	0.102631	0.050912	0.0487386	0.0403124	0.0427884	0.0952802	0.0289528	0.0256249	0.0316389	0.0315785	0.0195683	2.991
23	-15804.2	-15788.4	-15.8507	0.0801844	0.0973532	0.0706429	0.0661564	0.120952	0.079965	0.0802091	0.111462	0.100121	0.0879811	0.135897	0.110867	0.108587	0.0978047	0.15335	0.0760238	0.0734357	0.117879	0.131146	0.0827275	0.111345	0.0799129	0.0787239	0.0315815	0.027794	0.0137336	0.0188288	0.0232721	0.0380602	0.00204419	0.0440802	0.0354436	0.0900244	0.0456314	0.0436332	0.018873	0.0502968	0.0922908	0.0357323	0.042801	0.0351272	0.0248883	0.0364639	3.00333
24	-15805.6	-15789.1	-16.512	0.0898369	0.0929216	0.0706429	0.0669495	0.112734	0.079965	0.0742142	0.114339	0.122422	0.0783603	0.146604	0.11369	0.108219	0.126029	0.125394	0.0691199	0.0872303	0.0947616	0.131683	0.0658544	0.121833	0.0957749	0.0963273	0.0292609	0.0312867	0.0148513	0.0214508	0.0242843	0.0475718	0.00352615	0.0514658	0.0285133	0.0768165	0.0574895	0.0488359	0.0340032	0.0594107	0.0584606	0.0469151	0.0404626	0.0309352	0.0493075	0.0297015	3.06945
25	-15810.7	-15794	-16.727	0.0926961	0.0921558	0.0912811	0.0543481	0.103867	0.0587795	0.0838499	0.127869	0.118247	0.0912065	0.133698	0.116777	0.0872048	0.122146	0.14994	0.0705246	0.0939263	0.134103	0.135929	0.0881789	0.116008	0.0721683	0.084437	0.0409214	0.0247604	0.0169027	0.0157006	0.0298942	0.04112	0.00897236	0.0505335	0.0160723	0.0956324	0.0422425	0.0432096	0.0378216	0.0490385	0.0890607	0.0502401	0.0333486	0.032037	0.0320272	0.0220806	3.09096
26	-15802.8	-15785.8	-17.0064	0.0910567	0.0980375	0.0838753	0.0685999	0.113133	0.0810749	0.0708552	0.126226	0.103409	0.0860101	0.162976	0.13386	0.092361	0.100245	0.151474	0.0766568	0.0918508	0.119035	0.126485	0.070599	0.098922	0.104374	0.0885475	0.043816	0.0268843	0.0121498	0.0328637	0.0318029	0.0440236	0.00743374	0.0535747	0.0268981	0.0756976	0.0463301	0.0332077	0.0205179	0.0366519	0.0938827	0.0517574	0.0381902	0.041276	0.0339694	0.0283017	3.1189
27	-15794	-15776.5	-17.4956	0.107485	0.0892508	0.0844703	0.0739765	0.0937492	0.0988732	0.0812375	0.131426	0.121332	0.0872612	0.180709	0.132067	0.102614	0.142522	0.135237	0.066043	0.0726759	0.099039	0.126937	0.0823326	0.10412	0.0963112	0.0869638	0.0296125	0.0183931	0.0309321	0.0474216	0.0290764	0.0271894	0.0102848	0.0429197	0.0303464	0.0799126	0.0533354	0.0294655	0.0169506	0.0575747	0.080565	0.051056	0.0317838	0.0160894	0.049202	0.0390688	3.16781
28	-15793.8	-15776.9	-16.8572	0.114531	0.102099	0.0680367	0.0693589	0.109664	0.0730796	0.0826743	0.0981132	0.108942	0.088459	0.170118	0.118915	0.105362	0.118892	0.143765	0.0858071	0.0868896	0.103482	0.133861	0.0808276	0.0913445	0.0859168	0.139537	0.0372196	0.0189119	0.0286611	0.0230417	0.0267246	0.0182266	0.0138516	0.0496274	0.0305737	0.0668658	0.0353289	0.0392429	0.0422246	0.0603681	0.0713951	0.0423041	0.0366719	0.0257416	0.0324281	0.0248918	3.10398
29	-15787.5	-15771.7	-15.7996	0.0791172	0.103846	0.0689551	0.0697673	0.118726	0.0841412	0.0707218	0.129467	0.108074	0.0876159	0.182868	0.116322	0.0945277	0.130601	0.143765	0.069216	0.083048	0.109507	0.107968	0.0749324	0.0862653	0.104097	0.083727	0.0236221	0.0235889	0.0242416	0.0193531	0.0256421	0.0296367	0.0150342	0.0375475	0.0327982	0.0621025	0.0316955	0.0389121	0.0287977	0.0647978	0.0986306	0.0406763	0.0295564	0.010264	0.0336834	0.0203564	2.99821
30	-15788.6	-15771.9	-16.6231	0.101939	0.0849869	0.104146	0.0729967	0.118093	0.0611239	0.0730671	0.129359	0.104851	0.0963983	0.148571	0.125089	0.0965147	0.126611	0.117129	0.0815571	0.0940747	0.119061	0.149468	0.0532999	0.114198	0.0918813	0.0941992	0.0372856	0.0309165	0.0300097	0.0449871	0.0345483	0.0153202	0.012667	0.0437079	0.0225797	0.0680709	0.0415904	0.0429227	0.0170149	0.0360001	0.0799991	0.0432424	0.031455	0.0208028	0.0356977	0.0331318	3.08057
