Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
200	-15814.8	-15797.6	-17.1303	0.114929	0.0910202	0.0605454	0.155744	0.15216	0.106356	0.0893299	0.144968	0.167424	0.114326	0.0939504	0.0796504	0.124203	0.086858	0.0556594	0.0827134	0.080474	0.12044	0.133321	0.0938811	0.10566	0.0896377	0.0680624	0.0765197	0.0178655	0.0266625	0.0471568	0.0506347	0.0164868	0.0620643	0.0193969	0.0334194	0.0313027	0.0298558	0.028711	0.0392045	0.10155	0.0211291	0.0248037	0.0549186	0.0274206	0.00617956	0.00469266	3.13129
210	-15781.8	-15765.4	-16.3882	0.104689	0.0960754	0.0805247	0.144008	0.128597	0.0998169	0.0890687	0.1349	0.159384	0.090317	0.11653	0.0694696	0.13059	0.0981577	0.056559	0.0973561	0.0686515	0.116928	0.100462	0.087019	0.116604	0.10863	0.0671656	0.0644816	0.0242022	0.0126755	0.0349535	0.0359962	0.0333202	0.0543046	0.0244656	0.0539119	0.0184822	0.0200679	0.039519	0.0492089	0.0787314	0.0250467	0.0214343	0.053368	0.0199834	0.0145655	0.0168549	3.05708
220	-15743.6	-15728.6	-15.019	0.111916	0.106692	0.0636949	0.110595	0.13338	0.097579	0.095629	0.108425	0.160344	0.0769997	0.0828654	0.0771939	0.113144	0.0822286	0.0709394	0.0701266	0.100275	0.0845086	0.120351	0.0853254	0.103313	0.0818356	0.0834382	0.0527026	0.0155066	0.0162863	0.0401688	0.0362895	0.0185171	0.0486816	0.0175095	0.0246922	0.0286198	0.0387268	0.0255999	0.0361391	0.0987336	0.00922396	0.0198147	0.0465816	0.0210061	0.0622527	0.0423015	2.92015
230	-15729.9	-15713.4	-16.4572	0.098705	0.10768	0.0891265	0.148099	0.13338	0.0851722	0.0911593	0.134216	0.172066	0.081231	0.0897455	0.0778615	0.134389	0.0947827	0.0522437	0.0803094	0.0834496	0.106508	0.120146	0.0950824	0.126172	0.0848523	0.0727725	0.0573155	0.0188493	0.0260659	0.0338528	0.0313609	0.0321543	0.0663411	0.0208601	0.0343903	0.0272049	0.0155316	0.0329051	0.0464565	0.0734181	0.0162112	0.0270502	0.0389462	0.0152566	0.0387723	0.0518814	3.06397
240	-15728	-15712.8	-15.2008	0.104072	0.106102	0.075365	0.12309	0.147296	0.085647	0.0887985	0.104952	0.146899	0.05683	0.107272	0.0705158	0.115556	0.0815128	0.049368	0.0762167	0.0787036	0.110016	0.118213	0.0835016	0.113017	0.10621	0.0801072	0.0586924	0.0289241	0.01204	0.0263698	0.0218273	0.0243278	0.0588817	0.0180721	0.0488483	0.0309627	0.0286369	0.0365933	0.0577743	0.0734181	0.0298512	0.0222902	0.0236834	0.0194155	0.0518547	0.0366065	2.93833
250	-15726.4	-15710.4	-16.0677	0.10996	0.106102	0.0692886	0.144054	0.134149	0.114999	0.0797612	0.123879	0.161995	0.0803985	0.103294	0.0624492	0.112044	0.0775537	0.0527776	0.0681467	0.0836818	0.123051	0.122358	0.11561	0.0926579	0.0979294	0.0846313	0.0460878	0.0269483	0.0242473	0.0274122	0.0248357	0.0270173	0.0661391	0.0188094	0.0376427	0.0289168	0.0287877	0.0287337	0.0359582	0.0619433	0.0232223	0.0373446	0.0444661	0.0158515	0.0518547	0.0480374	3.02503
260	-15731.4	-15715.6	-15.7564	0.10996	0.109481	0.0912361	0.125825	0.126081	0.0920754	0.0964661	0.1089	0.16192	0.0848192	0.0745925	0.0647503	0.109784	0.0787496	0.0492323	0.0921039	0.084962	0.106042	0.122358	0.0749032	0.096787	0.108391	0.0757188	0.0518036	0.0349655	0.0256203	0.0381532	0.0256579	0.0226455	0.084955	0.0237821	0.0275896	0.0283104	0.030315	0.0400965	0.0406079	0.0681078	0.0146135	0.0341914	0.0402563	0.0112535	0.0576424	0.0481912	2.9939
270	-15734.2	-15717.8	-16.3918	0.108516	0.0908597	0.0810978	0.106717	0.137017	0.098447	0.10304	0.114848	0.150748	0.081557	0.074001	0.0785073	0.121015	0.0867049	0.0445275	0.0903903	0.0834559	0.132842	0.119308	0.080849	0.129446	0.084381	0.0742641	0.0611957	0.0330536	0.0226018	0.0450451	0.0285243	0.039426	0.0528362	0.0315178	0.0268041	0.0349999	0.0291246	0.0459796	0.0538619	0.0634809	0.0255664	0.0318159	0.0342694	0.0363754	0.0434343	0.0449784	3.05743
280	-15731.3	-15714.9	-16.3583	0.11789	0.0997081	0.0906404	0.133024	0.127524	0.0822675	0.105816	0.122177	0.142943	0.0731886	0.0925566	0.0849595	0.122791	0.105392	0.0405969	0.0814824	0.0693195	0.112274	0.128134	0.0885701	0.122969	0.108813	0.0872361	0.0465594	0.0244244	0.0240505	0.0411627	0.0233666	0.0286817	0.0343539	0.0200157	0.0270085	0.030432	0.0246609	0.0309298	0.0545813	0.0848731	0.0180035	0.0192572	0.0481457	0.0258324	0.0621953	0.045272	3.05408
290	-15730.3	-15715.1	-15.2263	0.113356	0.0945281	0.0625468	0.111016	0.136658	0.099629	0.0900558	0.152029	0.149069	0.062802	0.0938812	0.083187	0.109018	0.0804149	0.0584262	0.0841472	0.088054	0.112274	0.127468	0.103532	0.0922471	0.0904646	0.0728025	0.0408292	0.0258933	0.0196259	0.0411627	0.0234325	0.0275725	0.0586261	0.0153807	0.0421272	0.0425477	0.0284819	0.0255261	0.0522973	0.055692	0.0193223	0.0304942	0.0429008	0.0176929	0.0377603	0.0259167	2.94089
300	-15726.1	-15711	-15.1179	0.109591	0.10667	0.0679632	0.122385	0.137242	0.0732907	0.101823	0.152029	0.134346	0.0676829	0.0857977	0.0727637	0.116871	0.0788916	0.0574417	0.0757092	0.0688321	0.114231	0.116685	0.0932621	0.100421	0.0880624	0.0698164	0.0468581	0.0240448	0.0212274	0.0404854	0.0192241	0.0313766	0.057956	0.0185318	0.0296439	0.029867	0.0308479	0.0364216	0.0409793	0.0716239	0.0200492	0.0253987	0.0563042	0.0225105	0.0640747	0.030815	2.93005
310	-15726.3	-15709.9	-16.4177	0.118108	0.102839	0.0797286	0.122385	0.147964	0.0776542	0.0951945	0.117999	0.1595	0.0702997	0.112088	0.0800287	0.125843	0.0890987	0.0651796	0.0863109	0.0936651	0.107998	0.137628	0.0766679	0.11014	0.0821885	0.0778249	0.0454127	0.0246589	0.0170835	0.0380492	0.0389764	0.029889	0.0599382	0.0131514	0.0239932	0.0249108	0.0295825	0.0289626	0.0494963	0.0658168	0.0224867	0.0386476	0.0438285	0.0291581	0.0586765	0.0409676	3.06002
320	-15726.2	-15709.5	-16.7009	0.128648	0.106317	0.0890675	0.135846	0.138816	0.0890229	0.0951945	0.135625	0.147125	0.0901944	0.111403	0.0762944	0.106327	0.0786637	0.0715759	0.085278	0.0684108	0.114919	0.128385	0.0998909	0.120855	0.0926072	0.0774763	0.0529745	0.0229809	0.0210716	0.037905	0.0243899	0.0179295	0.0430203	0.0301082	0.0253296	0.0265297	0.0215382	0.0388808	0.0390366	0.0937438	0.0217721	0.0301868	0.0339661	0.0276095	0.0606156	0.0308115	3.08834
330	-15734.8	-15717.3	-17.4226	0.10097	0.107069	0.0868219	0.134473	0.137835	0.0995824	0.103157	0.140069	0.166983	0.0936788	0.115782	0.088275	0.142123	0.0757081	0.0471642	0.089902	0.0611636	0.125874	0.12406	0.0811028	0.112119	0.0887906	0.0640397	0.0628042	0.0231405	0.0227146	0.0357394	0.0324947	0.0221558	0.0627152	0.0328717	0.0437051	0.0302964	0.0315492	0.0314533	0.0644726	0.0610438	0.0173095	0.0272401	0.042258	0.0239014	0.0611681	0.0447399	3.16052
340	-15731.6	-15716.1	-15.5647	0.115315	0.122809	0.0624782	0.126852	0.131292	0.0998501	0.0800373	0.0973332	0.138988	0.0815714	0.0871053	0.0911132	0.127307	0.0872157	0.0622483	0.089902	0.0739825	0.088338	0.136341	0.0860974	0.10894	0.084907	0.08041	0.0594732	0.0321409	0.0295398	0.0409869	0.0402121	0.0249314	0.0513198	0.0274367	0.0356084	0.0205843	0.0216479	0.0216123	0.0600982	0.0629417	0.0183062	0.0206976	0.0412584	0.0213158	0.0535801	0.0306023	2.97473
